report_type,title,narrative,site,activity,location,occurred_at,reporter_name,gold_sif,gold_lsr,split
UNSAFE_CONDITION,Good practice observed,"Supervisor walkdown recorded that Tag lines and rigging were inspected before the lift, the exclusion zone was clearly barricaded, and a dedicated banksman controlled all pedestrian access throughout Observed during morning toolbox talk follow-up.",Site E (Terminal),Lifting Operation,crane lift zone,2026-05-09T10:00:00,Shift Supervisor,NON_SIF,Line of Fire,test
UNSAFE_CONDITION,Minor safety observation,Supervisor walkdown recorded that A confined-space entry permit was found with a minor administrative field left blank after the job was already complete; no safety control was actually missing during the work Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Confined Space Entry,vessel entry point,2026-03-20T23:00:00,Contractor,LOW,Confined Space,train
NEAR_MISS,High-risk near miss,Crane lift proceeded without a documented lift plan and the exclusion zone was not established.,Site D (Drilling Rig),Lifting Operation,crane pad,2026-08-04T15:00:00,Field Technician,HIGH,Safe Mechanical Lifting,train
NEAR_MISS,Near miss - review recommended,"Permit close-out comment: Minor slip on a wet floor near a stairwell railing, no injury Equipment tag referenced in the PTW package.",Site A (Upstream E&P),General Maintenance,stairwell landing,2026-03-05T11:00:00,Field Technician,MEDIUM,Working at Height,test
NEAR_MISS,Safety concern requiring follow-up,"Permit close-out comment: Welding screens were used to control sparks, but a small gap at the base of one screen was only noticed and closed partway through the job Equipment tag referenced in the PTW package.",Site E (Terminal),Hot Work,process area near tank farm,2026-07-08T12:00:00,Operator,MEDIUM,Hot Work,test
UNSAFE_CONDITION,Minor administrative item,Crew completed a positive observation card noting good use of PPE and correct barricading during a routine maintenance task.,Site A (Upstream E&P),General Maintenance,process unit,2026-03-05T10:00:00,HSE Officer,NON_SIF,No applicable rule,train
NEAR_MISS,Potential serious injury precursor,Supervisor walkdown recorded that Crane lift proceeded without a documented lift plan and the exclusion zone was not established Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Lifting Operation,crane pad,2026-06-22T03:00:00,Maintenance Engineer,HIGH,Safe Mechanical Lifting,train
NEAR_MISS,Near miss - review recommended,Permit close-out comment: A pipe spool being lowered onto the pipe rack swung briefly toward a worker who was still inside the marked exclusion zone finishing an unrelated task Equipment tag referenced in the PTW package.,Site A (Upstream E&P),Lifting Operation,pipe rack area,2026-07-06T00:00:00,Contractor,MEDIUM,Line of Fire,train
NEAR_MISS,Potential serious injury precursor,Supervisor walkdown recorded that Vehicle reversing near the workshop nearly struck a pedestrian who stepped out without checking; the driver stopped in time Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Driving / Vehicle Movement,workshop yard,2026-03-26T20:00:00,Contractor,HIGH,Driving,val
NEAR_MISS,Near miss - review recommended,Permit close-out comment: Cutting torch was used to remove a bracket near a vent that was not confirmed to be free of flammable vapours Equipment tag referenced in the PTW package.,Site C (Gas Processing),Hot Work,tank farm perimeter,2026-06-14T16:00:00,HSE Officer,MEDIUM,Hot Work,val
UNSAFE_CONDITION,Housekeeping item,"Supervisor walkdown recorded that A minor drip from a pressure gauge fitting was noted during a routine walk-down, well below the alarm threshold; logged for the next inspection Observed during morning toolbox talk follow-up.",Site B (Pipeline Corridor),General Maintenance,gauge panel,2026-04-17T02:00:00,Shift Supervisor,LOW,Energy Isolation,train
UNSAFE_CONDITION,Routine safety observation,Worker wore a full harness with the lanyard properly anchored to the designated point while working on the elevated platform.,Site D (Drilling Rig),Working at Height,elevated walkway,2026-06-08T21:00:00,Maintenance Engineer,NON_SIF,Working at Height,train
UNSAFE_CONDITION,Routine safety observation,"Supervisor walkdown recorded that All scaffold guardrails and toe boards were verified in place by a competent person before work began, and harnesses were double-checked at the access point Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Working at Height,scaffold access point,2026-06-16T11:00:00,Shift Supervisor,NON_SIF,Working at Height,test
UNSAFE_CONDITION,Minor administrative item,An employee raised a general concern about workload during a shift handover meeting; no physical hazard described.,Site E (Terminal),General Maintenance,shift handover point,2026-02-18T00:00:00,Contractor,NON_SIF,No applicable rule,train
UNSAFE_CONDITION,High-risk near miss,"Supervisor walkdown recorded that The permit for the confined space entry had expired an hour earlier, but the crew continued working inside the vessel Observed during morning toolbox talk follow-up.",Site B (Pipeline Corridor),Confined Space Entry,separator vessel,2026-05-02T09:00:00,HSE Officer,HIGH,Confined Space,train
NEAR_MISS,Potential serious injury precursor,"Maintenance crew began breaking a flange connection while the isolation valve was only tagged, not physically locked, after the assigned lock key was misplaced.",Site C (Gas Processing),Pipeline Maintenance,flange connection point,2026-06-29T09:00:00,Shift Supervisor,HIGH,Energy Isolation,val
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that Crane operator followed the approved lift plan and confirmed all rigging hardware was within inspection date before starting the lift Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),Lifting Operation,module lift zone,2026-02-27T18:00:00,Shift Supervisor,NON_SIF,Safe Mechanical Lifting,val
UNSAFE_CONDITION,Routine safety observation,Fall-arrest harness was worn and correctly anchored throughout the scaffold inspection; no issues noted.,Site B (Pipeline Corridor),Working at Height,scaffold platform,2026-02-28T08:00:00,Maintenance Engineer,NON_SIF,Working at Height,val
UNSAFE_CONDITION,Good practice observed,"Supervisor walkdown recorded that The lift plan, rigging certification, and exclusion zone were all verified by the lift supervisor immediately before the crane began the pick Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Lifting Operation,crane lift area,2026-05-15T13:00:00,HSE Officer,NON_SIF,Safe Mechanical Lifting,val
NEAR_MISS,Barrier verification gap,"Welding screens were used to control sparks, but a small gap at the base of one screen was only noticed and closed partway through the job.",Site E (Terminal),Hot Work,process area near tank farm,2026-06-01T08:00:00,Shift Supervisor,MEDIUM,Hot Work,test
NEAR_MISS,Critical safety observation,Permit close-out comment: Worker leaned out from a scaffold platform to reach a valve without re-anchoring the fall-arrest lanyard Equipment tag referenced in the PTW package.,Site E (Terminal),Working at Height,elevated scaffold platform,2026-07-20T22:00:00,HSE Officer,HIGH,Working at Height,train
UNSAFE_CONDITION,Near miss - review recommended,Maintenance work began without a valid work permit being issued for the task.,Site C (Gas Processing),General Maintenance,process unit,2026-03-22T15:00:00,Operator,MEDIUM,Work Authorization,train
NEAR_MISS,Barrier verification gap,"A worker briefly entered the exclusion zone near rotating equipment to retrieve a dropped glove, then stepped back out immediately.",Site C (Gas Processing),General Maintenance,rotating equipment area,2026-05-27T12:00:00,Maintenance Engineer,MEDIUM,Line of Fire,test
UNSAFE_CONDITION,Minor administrative item,"Supervisor walkdown recorded that A hot work permit, continuous gas monitoring and a fully equipped fire watch with an extinguisher were all in place for the entire duration of the cutting job Observed during morning toolbox talk follow-up.",Site B (Pipeline Corridor),Hot Work,pipe fabrication yard,2026-07-05T15:00:00,Field Technician,NON_SIF,Hot Work,train
NEAR_MISS,High-risk near miss,Worker leaned out from a scaffold platform to reach a valve without re-anchoring the fall-arrest lanyard.,Site A (Upstream E&P),Working at Height,elevated scaffold platform,2026-02-24T04:00:00,Contractor,HIGH,Working at Height,train
NEAR_MISS,High-risk near miss,"Employee stood in the pinch point between a pipe and the crane hook while positioning the load, and had to step back quickly.",Site E (Terminal),Lifting Operation,pipe rack laydown area,2026-02-21T07:00:00,Maintenance Engineer,HIGH,Line of Fire,val
NEAR_MISS,Safety concern requiring follow-up,A worker briefly unclipped a fall-arrest lanyard to reposition along a narrow platform before re-clipping to the next anchor point a few steps later.,Site C (Gas Processing),Working at Height,elevated walkway,2026-03-16T14:00:00,Contractor,MEDIUM,Working at Height,test
UNSAFE_CONDITION,Potential serious injury precursor,Rigging sling showed visible wear but was used anyway during the lift.,Site B (Pipeline Corridor),Lifting Operation,rigging yard,2026-07-06T17:00:00,HSE Officer,HIGH,Safe Mechanical Lifting,train
NEAR_MISS,Critical safety observation,"Supervisor walkdown recorded that Maintenance crew began breaking a flange connection while the isolation valve was only tagged, not physically locked, after the assigned lock key was misplaced Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Pipeline Maintenance,flange connection point,2026-05-19T16:00:00,Maintenance Engineer,HIGH,Energy Isolation,val
NEAR_MISS,High-risk near miss,Vehicle reversing near the workshop nearly struck a pedestrian who stepped out without checking; the driver stopped in time.,Site E (Terminal),Driving / Vehicle Movement,workshop yard,2026-05-02T14:00:00,Maintenance Engineer,HIGH,Driving,val
UNSAFE_CONDITION,Minor safety observation,"Supervisor walkdown recorded that A work permit was correctly signed, but the copy posted at the job site was a slightly outdated revision; the actual work scope matched the valid permit on file Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),General Maintenance,job site noticeboard,2026-03-25T13:00:00,Contractor,LOW,Work Authorization,train
UNSAFE_CONDITION,Minor safety observation,Supervisor walkdown recorded that Faded lane markings were observed on a low-traffic internal access road; reported for repainting during the next resurfacing cycle Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),Driving / Vehicle Movement,internal access road,2026-06-25T00:00:00,HSE Officer,LOW,Driving,val
INCIDENT,High-risk near miss,"Electrician started work on a control panel before confirming it was de-energized, receiving a minor shock from a live wire.",Site B (Pipeline Corridor),Electrical Work,switchgear room,2026-02-16T07:00:00,HSE Officer,HIGH,Energy Isolation,val
UNSAFE_CONDITION,Good practice observed,"Gas test was completed and confirmed clear, permit was signed, and the standby attendant remained at the entry point throughout the work.",Site E (Terminal),Confined Space Entry,vessel entry point,2026-07-20T23:00:00,Maintenance Engineer,NON_SIF,Confined Space,train
UNSAFE_CONDITION,Barrier verification gap,"A low-level alarm was silenced during a known sensor fault, with a manual round-the-clock check substituted, but the substitute check was missed for one shift.",Site E (Terminal),General Maintenance,control room,2026-08-11T16:00:00,Field Technician,MEDIUM,Bypassing Safety Controls,val
INCIDENT,High-risk near miss,Permit close-out comment: A ventilation fan inside a tank stopped partway through the job without the crew noticing until a worker began feeling light-headed Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Confined Space Entry,storage tank interior,2026-03-27T23:00:00,Field Technician,HIGH,Confined Space,train
UNSAFE_CONDITION,Housekeeping item,Supervisor walkdown recorded that A section of perimeter fencing showed minor sagging well away from any live work area; scheduled for tensioning Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),General Maintenance,site perimeter,2026-05-14T21:00:00,Operator,LOW,No applicable rule,train
UNSAFE_ACT,Near miss - review recommended,Permit close-out comment: Driver was using a mobile phone while driving between well sites on the access road Equipment tag referenced in the PTW package.,Site E (Terminal),Driving / Vehicle Movement,site access road,2026-04-06T21:00:00,Operator,MEDIUM,Driving,train
INCIDENT,High-risk near miss,Supervisor walkdown recorded that A ventilation fan inside a tank stopped partway through the job without the crew noticing until a worker began feeling light-headed Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Confined Space Entry,storage tank interior,2026-05-01T02:00:00,Shift Supervisor,HIGH,Confined Space,train
UNSAFE_CONDITION,Near miss - review recommended,Permit close-out comment: Maintenance work began without a valid work permit being issued for the task Equipment tag referenced in the PTW package.,Site E (Terminal),General Maintenance,process unit,2026-03-12T04:00:00,Contractor,MEDIUM,Work Authorization,train
UNSAFE_CONDITION,Minor safety observation,A tool box was left slightly open on a bench overnight in the workshop with no one present; closed and secured the next morning.,Site E (Terminal),General Maintenance,workshop bench,2026-04-29T16:00:00,Contractor,LOW,No applicable rule,val
UNSAFE_ACT,Potential serious injury precursor,Permit close-out comment: Worker entered the confined space without a standby attendant posted at the entry point Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Confined Space Entry,vessel manway,2026-06-27T21:00:00,Maintenance Engineer,HIGH,Confined Space,train
UNSAFE_CONDITION,Routine safety observation,Fire watch remained in place with extinguisher ready while cutting operations proceeded under a valid hot work permit.,Site A (Upstream E&P),Hot Work,pipe rack area,2026-07-15T06:00:00,Operator,NON_SIF,Hot Work,test
UNSAFE_CONDITION,Routine safety observation,"Supervisor walkdown recorded that Lift plan was documented and reviewed, rigging equipment was inspected beforehand, and the exclusion zone was fully enforced during the lift Observed during morning toolbox talk follow-up.",Site A (Upstream E&P),Lifting Operation,crane lift area,2026-04-16T17:00:00,Contractor,NON_SIF,Safe Mechanical Lifting,train
UNSAFE_CONDITION,Good practice observed,"Supervisor walkdown recorded that Safety interlock authorization was obtained from the shift supervisor and logged before the temporary bypass was applied for testing, then restored immediately after Observed during morning toolbox talk follow-up.",Site E (Terminal),General Maintenance,control room,2026-03-24T05:00:00,Contractor,NON_SIF,Bypassing Safety Controls,train
NEAR_MISS,Barrier verification gap,"Supervisor walkdown recorded that A hot work permit was issued and a fire watch posted, but the gas test was performed slightly outside the actual radius of the welding point Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Hot Work,fabrication bay,2026-04-06T00:00:00,Operator,MEDIUM,Hot Work,train
NEAR_MISS,Unclear report - needs review,Unusual noise heard near rotating equipment; area was cleared as a precaution.,Site A (Upstream E&P),General Maintenance,rotating equipment area,2026-03-17T07:00:00,Operator,REVIEW,Line of Fire,train
UNSAFE_CONDITION,Routine safety observation,A signboard with faded paint was reported near the main gate and scheduled for repainting.,Site E (Terminal),General Maintenance,main gate,2026-03-29T22:00:00,HSE Officer,NON_SIF,No applicable rule,train
NEAR_MISS,Near miss - review recommended,A worker leaned into the swing radius of an operating excavator for a few seconds to shout an instruction before stepping back to a safe distance.,Site A (Upstream E&P),General Maintenance,excavation area,2026-08-06T17:00:00,Maintenance Engineer,MEDIUM,Line of Fire,train
UNSAFE_CONDITION,Routine safety observation,Maintenance crew applied LOTO correctly and verified zero energy before opening the valve for scheduled maintenance. No issues noted.,Site E (Terminal),Pipeline Maintenance,valve station,2026-05-20T21:00:00,Contractor,NON_SIF,Energy Isolation,test
UNSAFE_CONDITION,Barrier verification gap,Permit had expired but the crew continued working on the equipment for another hour before noticing.,Site A (Upstream E&P),General Maintenance,compressor building,2026-04-23T10:00:00,HSE Officer,MEDIUM,Work Authorization,train
NEAR_MISS,Near miss - review recommended,LOTO tags were applied but the isolation point was never physically verified with a zero-energy check before valve removal began.,Site B (Pipeline Corridor),Pipeline Maintenance,valve manifold,2026-05-09T16:00:00,Maintenance Engineer,MEDIUM,Energy Isolation,val
UNSAFE_CONDITION,Housekeeping item,A vehicle's tire pressure was found slightly below the recommended level during a routine check; corrected before the vehicle was dispatched.,Site C (Gas Processing),Driving / Vehicle Movement,vehicle yard,2026-03-12T01:00:00,Shift Supervisor,LOW,Driving,train
UNSAFE_CONDITION,Good practice observed,"Confined-space entry was completed with a valid permit, verified gas test, and full PPE. No issues noted.",Site C (Gas Processing),Confined Space Entry,storage tank manway,2026-04-26T13:00:00,Contractor,NON_SIF,Confined Space,test
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that Worker wore a full harness with the lanyard properly anchored to the designated point while working on the elevated platform Observed during morning toolbox talk follow-up.,Site E (Terminal),Working at Height,elevated walkway,2026-07-06T16:00:00,Operator,NON_SIF,Working at Height,train
UNSAFE_CONDITION,Safety concern requiring follow-up,Supervisor walkdown recorded that Maintenance work began without a valid work permit being issued for the task Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),General Maintenance,process unit,2026-05-29T15:00:00,Contractor,MEDIUM,Work Authorization,train
NEAR_MISS,Barrier verification gap,"Permit close-out comment: The lift plan was in place, but the rigging inspection checklist was completed from memory rather than a physical inspection immediately before the lift Equipment tag referenced in the PTW package.",Site D (Drilling Rig),Lifting Operation,crane pad,2026-03-29T23:00:00,Field Technician,MEDIUM,Safe Mechanical Lifting,train
NEAR_MISS,High-risk near miss,"A valve believed to be isolated was found still partly open when the technician began removing its actuator, releasing a small amount of process fluid.",Site A (Upstream E&P),Pipeline Maintenance,actuator removal point,2026-06-20T01:00:00,Shift Supervisor,HIGH,Energy Isolation,train
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that Exclusion zone was properly established and enforced around the lifting operation; no personnel entered the line of fire Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),Lifting Operation,crane lift zone,2026-07-17T13:00:00,HSE Officer,NON_SIF,Line of Fire,train
UNSAFE_CONDITION,Routine safety observation,Supervisor walkdown recorded that Operator opened an inspection hatch on a de-energized vessel after LOTO was verified by two independent checks; no issues found Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),General Maintenance,vessel inspection point,2026-03-03T10:00:00,Shift Supervisor,NON_SIF,Energy Isolation,train
NEAR_MISS,High-risk near miss,Permit close-out comment: Contractor entered a tank for inspection before the gas test was completed and the permit was signed Equipment tag referenced in the PTW package.,Site A (Upstream E&P),Confined Space Entry,storage tank,2026-04-05T17:00:00,Maintenance Engineer,HIGH,Confined Space,train
UNSAFE_CONDITION,Minor safety observation,"An alarm-bypass tag from a previous, already-completed authorized test was found still attached to a panel; the underlying alarm itself was confirmed active.",Site C (Gas Processing),General Maintenance,instrument panel,2026-04-10T21:00:00,HSE Officer,LOW,Bypassing Safety Controls,val
NEAR_MISS,Safety concern requiring follow-up,"Permit close-out comment: A junior technician disconnected a hydraulic line without checking whether isolation had been confirmed, and hydraulic fluid sprayed nearby Equipment tag referenced in the PTW package.",Site E (Terminal),General Maintenance,hydraulic skid,2026-05-04T13:00:00,HSE Officer,MEDIUM,Energy Isolation,train
INCIDENT,Potential serious injury precursor,Technician felt dizzy shortly after entering a tank; gas test results were later found to have been recorded before ventilation was complete.,Site B (Pipeline Corridor),Confined Space Entry,process vessel,2026-03-30T10:00:00,Contractor,HIGH,Confined Space,train
UNSAFE_CONDITION,Housekeeping item,Supervisor walkdown recorded that A tool box was left slightly open on a bench overnight in the workshop with no one present; closed and secured the next morning Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),General Maintenance,workshop bench,2026-03-29T23:00:00,HSE Officer,LOW,No applicable rule,val
NEAR_MISS,Ambiguous observation,Near miss reported but activity and location are unclear from the submitted narrative.,Site D (Drilling Rig),General Maintenance,unspecified area,2026-06-23T11:00:00,Operator,REVIEW,No applicable rule,train
NEAR_MISS,High-risk near miss,Permit close-out comment: Welding was carried out near an open drum of solvent without a fire watch or a gas test Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Hot Work,maintenance workshop,2026-07-06T18:00:00,HSE Officer,HIGH,Hot Work,train
UNSAFE_CONDITION,Routine safety observation,Crane operator followed the approved lift plan and confirmed all rigging hardware was within inspection date before starting the lift.,Site B (Pipeline Corridor),Lifting Operation,module lift zone,2026-05-17T15:00:00,HSE Officer,NON_SIF,Safe Mechanical Lifting,val
NEAR_MISS,High-risk near miss,A worker entered a drained tank for a visual inspection while the standby attendant briefly left the entry point to retrieve additional equipment.,Site B (Pipeline Corridor),Confined Space Entry,storage tank manway,2026-03-22T15:00:00,Field Technician,HIGH,Confined Space,train
NEAR_MISS,Critical safety observation,Permit close-out comment: A dropped wrench fell from an elevated platform and landed close to a worker standing directly below the work area Equipment tag referenced in the PTW package.,Site B (Pipeline Corridor),General Maintenance,elevated platform,2026-05-11T19:00:00,Operator,HIGH,Line of Fire,test
NEAR_MISS,Near miss - review recommended,"Supervisor walkdown recorded that Minor slip on a wet floor near a stairwell railing, no injury Observed during morning toolbox talk follow-up.",Site C (Gas Processing),General Maintenance,stairwell landing,2026-04-07T09:00:00,Field Technician,MEDIUM,Working at Height,test
NEAR_MISS,Critical safety observation,Permit close-out comment: Worker walked beneath a suspended load during a lifting operation to retrieve a dropped tool Equipment tag referenced in the PTW package.,Site E (Terminal),Lifting Operation,crane lift zone,2026-08-12T03:00:00,Field Technician,HIGH,Line of Fire,train
NEAR_MISS,Critical safety observation,"Permit close-out comment: Maintenance crew began breaking a flange connection while the isolation valve was only tagged, not physically locked, after the assigned lock key was misplaced Equipment tag referenced in the PTW package.",Site C (Gas Processing),Pipeline Maintenance,flange connection point,2026-03-26T00:00:00,HSE Officer,HIGH,Energy Isolation,val
NEAR_MISS,Barrier verification gap,The isolation checklist for a pump seal job was signed off before the final zero-energy check had actually been walked down by the permit holder.,Site D (Drilling Rig),General Maintenance,pump seal station,2026-05-30T00:00:00,Operator,MEDIUM,Energy Isolation,train
INCIDENT,Critical safety observation,Permit close-out comment: Worker was struck by a swinging pipe section during positioning after the tag line was released early Equipment tag referenced in the PTW package.,Site B (Pipeline Corridor),Lifting Operation,pipe handling area,2026-03-29T01:00:00,HSE Officer,HIGH,Line of Fire,train
NEAR_MISS,Near miss - review recommended,"Tag line was not used during a moderate lift, causing the load to sway slightly near ground crew who stepped back in time.",Site D (Drilling Rig),Lifting Operation,laydown area,2026-06-04T22:00:00,Shift Supervisor,MEDIUM,Safe Mechanical Lifting,test
NEAR_MISS,Near miss - review recommended,Supervisor walkdown recorded that A worker briefly stood within the marked exclusion zone to adjust a tag line before stepping back out as the lift resumed Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Lifting Operation,crane lift zone,2026-04-14T10:00:00,HSE Officer,MEDIUM,Line of Fire,train
NEAR_MISS,Near miss - review recommended,"Permit close-out comment: The confined-space entry permit listed an incorrect vessel number, although the vessel actually entered had in fact been gas-tested and isolated beforehand Equipment tag referenced in the PTW package.",Site A (Upstream E&P),Confined Space Entry,separator vessel,2026-04-16T13:00:00,Shift Supervisor,MEDIUM,Confined Space,train
NEAR_MISS,High-risk near miss,"Supervisor walkdown recorded that Employee stood in the pinch point between a pipe and the crane hook while positioning the load, and had to step back quickly Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Lifting Operation,pipe rack laydown area,2026-07-17T15:00:00,HSE Officer,HIGH,Line of Fire,val
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that The area authority reviewed and re-validated the permit at shift handover before work continued into the second shift Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),General Maintenance,process unit,2026-05-31T01:00:00,Field Technician,NON_SIF,Work Authorization,train
NEAR_MISS,Potential serious injury precursor,Technician opened a flange before confirming isolation. Residual pressure was released. No injury occurred.,Site A (Upstream E&P),Pipeline Maintenance,flange near separator unit 3,2026-03-04T21:00:00,Maintenance Engineer,HIGH,Energy Isolation,test
UNSAFE_CONDITION,Critical safety observation,"Permit close-out comment: Interlock was defeated to allow the pump to run with the guard open, exposing the coupling Equipment tag referenced in the PTW package.",Site E (Terminal),General Maintenance,pump house,2026-04-18T23:00:00,HSE Officer,HIGH,Bypassing Safety Controls,train
NEAR_MISS,Ambiguous observation,Report mentions something moving quickly near the crew during a shift but does not specify what the object was or whether anyone was in its path.,Site E (Terminal),General Maintenance,unspecified work area,2026-02-19T05:00:00,Shift Supervisor,REVIEW,Line of Fire,val
NEAR_MISS,Barrier verification gap,"Supervisor walkdown recorded that Isolation was applied and tagged, but the zero-energy verification step was skipped because the pressure gauge was already reading close to zero Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Pipeline Maintenance,manifold isolation point,2026-03-25T17:00:00,Contractor,MEDIUM,Energy Isolation,test
UNSAFE_CONDITION,Minor administrative item,"Supervisor walkdown recorded that Confined-space entry was completed with a valid permit, verified gas test, and full PPE. No issues noted Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Confined Space Entry,storage tank manway,2026-08-01T03:00:00,Maintenance Engineer,NON_SIF,Confined Space,test
NEAR_MISS,Safety concern requiring follow-up,"Permit close-out comment: A near-miss involving a dropped tool was reported verbally at shift handover, but the exact height and location were not recorded before the report was logged Equipment tag referenced in the PTW package.",Site B (Pipeline Corridor),General Maintenance,unspecified elevated area,2026-03-23T18:00:00,Operator,MEDIUM,Working at Height,val
NEAR_MISS,High-risk near miss,"Supervisor walkdown recorded that Grinding continued after the fire watch was called away to answer a radio call, with no relief watch posted in the interim Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Hot Work,workshop grinding station,2026-08-01T18:00:00,Operator,HIGH,Hot Work,train
UNSAFE_CONDITION,Good practice observed,"Double block-and-bleed isolation was applied, verified independently by two technicians, and logged on the permit before the exchanger head was removed.",Site B (Pipeline Corridor),General Maintenance,heat exchanger bay,2026-03-27T14:00:00,Maintenance Engineer,NON_SIF,Energy Isolation,val
UNSAFE_CONDITION,High-risk near miss,Permit close-out comment: A scaffold guardrail section had been temporarily removed for material handling and was not reinstated before the next shift began work on that level Equipment tag referenced in the PTW package.,Site E (Terminal),Working at Height,scaffold level 3,2026-03-28T12:00:00,Shift Supervisor,HIGH,Working at Height,val
NEAR_MISS,Ambiguous observation,A report describes an incident on a raised structure but does not clarify the height involved or whether fall protection was actually in use.,Site A (Upstream E&P),General Maintenance,raised structure,2026-04-16T16:00:00,Operator,REVIEW,Working at Height,val
NEAR_MISS,Critical safety observation,Permit close-out comment: Line was opened before confirming isolation and residual pressure released onto the maintenance crew standing at the flange Equipment tag referenced in the PTW package.,Site A (Upstream E&P),Pipeline Maintenance,flange assembly,2026-03-24T18:00:00,Maintenance Engineer,HIGH,Energy Isolation,test
UNSAFE_CONDITION,Minor administrative item,Operator opened an inspection hatch on a de-energized vessel after LOTO was verified by two independent checks; no issues found.,Site E (Terminal),General Maintenance,vessel inspection point,2026-05-26T18:00:00,Contractor,NON_SIF,Energy Isolation,train
NEAR_MISS,High-risk near miss,Permit close-out comment: Contractor removed a pressure gauge without confirming the line had been isolated; a small amount of residual gas was released Equipment tag referenced in the PTW package.,Site E (Terminal),Pipeline Maintenance,gas metering skid,2026-06-19T03:00:00,Field Technician,HIGH,Energy Isolation,train
NEAR_MISS,Safety concern requiring follow-up,Supervisor walkdown recorded that The isolation checklist for a pump seal job was signed off before the final zero-energy check had actually been walked down by the permit holder Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),General Maintenance,pump seal station,2026-06-05T23:00:00,Operator,MEDIUM,Energy Isolation,train
UNSAFE_CONDITION,Critical safety observation,Supervisor walkdown recorded that Rigging sling showed visible wear but was used anyway during the lift Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Lifting Operation,rigging yard,2026-08-08T19:00:00,Shift Supervisor,HIGH,Safe Mechanical Lifting,train
NEAR_MISS,Critical safety observation,"Supervisor walkdown recorded that Vehicle skidded on a wet access road after exceeding the site speed limit, narrowly avoiding a ditch Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Driving / Vehicle Movement,access road,2026-08-14T08:00:00,Maintenance Engineer,HIGH,Driving,train
UNSAFE_CONDITION,Minor administrative item,Housekeeping issue: cardboard boxes were left blocking a fire extinguisher cabinet in the warehouse. Corrected immediately.,Site D (Drilling Rig),General Maintenance,warehouse,2026-03-11T01:00:00,Contractor,NON_SIF,No applicable rule,test
NEAR_MISS,Critical safety observation,Supervisor walkdown recorded that A dropped wrench fell from an elevated platform and landed close to a worker standing directly below the work area Observed during morning toolbox talk follow-up.,Site C (Gas Processing),General Maintenance,elevated platform,2026-03-04T08:00:00,HSE Officer,HIGH,Line of Fire,test
NEAR_MISS,Critical safety observation,Supervisor walkdown recorded that Worker walked beneath a suspended load during a lifting operation to retrieve a dropped tool Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Lifting Operation,crane lift zone,2026-03-15T10:00:00,Shift Supervisor,HIGH,Line of Fire,train
UNSAFE_CONDITION,Routine safety observation,"Safety interlock authorization was obtained from the shift supervisor and logged before the temporary bypass was applied for testing, then restored immediately after.",Site B (Pipeline Corridor),General Maintenance,control room,2026-07-14T10:00:00,Contractor,NON_SIF,Bypassing Safety Controls,train
NEAR_MISS,High-risk near miss,"Grinding continued after the fire watch was called away to answer a radio call, with no relief watch posted in the interim.",Site C (Gas Processing),Hot Work,workshop grinding station,2026-05-14T05:00:00,Maintenance Engineer,HIGH,Hot Work,train
INCIDENT,Potential serious injury precursor,A ventilation fan inside a tank stopped partway through the job without the crew noticing until a worker began feeling light-headed.,Site B (Pipeline Corridor),Confined Space Entry,storage tank interior,2026-05-24T03:00:00,HSE Officer,HIGH,Confined Space,train
UNSAFE_CONDITION,Good practice observed,Scheduled vehicle pre-start inspection was completed with no defects found; vehicle cleared for the day's journeys.,Site D (Drilling Rig),Driving / Vehicle Movement,vehicle yard,2026-04-07T04:00:00,Field Technician,NON_SIF,Driving,train
